date,NO2
2026-02-07,2.9876363636363635e-05
2026-02-08,2.921181818181818e-05
2026-02-09,2.8547272727272724e-05
2026-02-10,2.7882727272727272e-05
2026-02-11,2.7218181818181817e-05
2026-02-12,2.655363636363636e-05
2026-02-13,2.5889090909090906e-05
2026-02-14,2.5224545454545454e-05
2026-02-15,2.456e-05
2026-02-16,6.324e-05
2026-02-17,5.961454545454545e-05
2026-02-18,5.5989090909090906e-05
2026-02-19,5.236363636363636e-05
2026-02-20,4.8738181818181814e-05
2026-02-21,4.511272727272727e-05
2026-02-22,4.148727272727272e-05
2026-02-23,3.7861818181818177e-05
2026-02-24,3.423636363636363e-05
2026-02-25,3.061090909090909e-05
2026-02-26,2.6985454545454546e-05
2026-02-27,2.336e-05
2026-02-28,2.44775e-05
2026-03-01,2.5595e-05
2026-03-02,2.67125e-05
2026-03-03,2.783e-05
2026-03-04,2.89475e-05
2026-03-05,3.0064999999999998e-05
2026-03-06,3.1182499999999995e-05
2026-03-07,3.23e-05
2026-03-08,2.7184999999999998e-05
2026-03-09,2.207e-05
2026-03-10,1.2735000000000001e-05
2026-03-11,3.4e-06
2026-03-12,2.261e-05
2026-03-13,1.107e-05
2026-03-14,5.117e-05
2026-03-15,4.971e-05
2026-03-16,1.865e-05
2026-03-17,1.957e-05
2026-03-18,2.254e-05
2026-03-19,2.672e-05
2026-03-20,2.49625e-05
2026-03-21,2.3205e-05
2026-03-22,2.14475e-05
2026-03-23,1.969e-05
2026-03-24,2.1832499999999998e-05
2026-03-25,2.3975e-05
2026-03-26,2.6117500000000002e-05
2026-03-27,2.826e-05
2026-03-28,3.3085e-05
2026-03-29,3.791e-05
2026-03-30,4.069333333333333e-05
2026-03-31,4.347666666666667e-05
2026-04-01,4.626e-05
2026-04-02,3.029e-05
2026-04-03,1.432e-05
2026-04-04,1.8935e-05
2026-04-05,2.355e-05
2026-04-06,1.971e-05
2026-04-07,1.71e-05
2026-04-08,2.166e-05
2026-04-09,3.3726e-05
2026-04-10,4.5792e-05
2026-04-11,5.7858e-05
2026-04-12,6.9924e-05
2026-04-13,8.199e-05
2026-04-14,9.173e-05
2026-04-15,3.339e-05
2026-04-16,3.9095e-05
2026-04-17,4.48e-05
2026-04-18,6.31e-05
2026-04-19,3.345e-05
2026-04-20,6.566e-05
2026-04-21,2.026e-05
2026-04-22,1.0215e-05
2026-04-23,1.7e-07
2026-04-24,1.513e-05
2026-04-25,4.581e-05
2026-04-26,2.915e-05
2026-04-27,2.6569999999999998e-05
2026-04-28,2.399e-05
2026-04-29,2.3333333333333332e-05
2026-04-30,2.2676666666666666e-05
2026-05-01,2.202e-05
2026-05-02,3.292333333333333e-05
2026-05-03,4.3826666666666665e-05
2026-05-04,5.473e-05
2026-05-05,0.00011149
2026-05-06,6.081e-05
2026-05-07,4.803e-05
2026-05-08,6.427e-05
2026-05-09,4.6475000000000005e-05
2026-05-10,2.868e-05
2026-05-11,8.78e-06
2026-05-12,5.4724999999999995e-05
2026-05-13,0.00010067
2026-05-14,7.4275e-05
2026-05-15,4.788e-05
2026-05-16,6.805e-05
2026-05-17,2.828e-05
2026-05-18,2.099e-05
2026-05-19,2.1315000000000002e-05
2026-05-20,2.164e-05
2026-05-21,6.2515e-05
2026-05-22,0.00010339
2026-05-23,4.767e-05
2026-05-24,2.789e-05
2026-05-25,4.352e-05
2026-05-26,1.511e-05
2026-05-27,2.377e-05
2026-05-28,3.104e-05
2026-05-29,2.494e-05
2026-05-30,3.265e-05
2026-05-31,4.036e-05
2026-06-01,6.4e-05
2026-06-02,5.434e-05
2026-06-03,0.00010102
2026-06-04,7.014e-05
2026-06-05,4.968e-05
2026-06-06,5.008e-05
2026-06-07,5.201e-05
2026-06-08,5.423e-05
2026-06-09,9.736e-05
2026-06-10,4.416e-05
2026-06-11,8.967e-05
2026-06-12,6.854e-05
2026-06-13,4.741e-05
2026-06-14,4.8085e-05
2026-06-15,4.876e-05
2026-06-16,5.939e-05
2026-06-17,8.055e-05
2026-06-18,6.57e-05
2026-06-19,0.00010498
2026-06-20,7.802e-05
2026-06-21,3.584e-05
2026-06-22,5.188e-05
2026-06-23,5.0205e-05
2026-06-24,4.853e-05
2026-06-25,8.951e-05
2026-06-26,4.123e-05
2026-06-27,4.886e-05
2026-06-28,4.867e-05
2026-06-29,8.243e-05
2026-06-30,8.761e-05
2026-07-01,1.74e-05
2026-07-02,6.018e-05
2026-07-03,6.382e-05
2026-07-04,4.188e-05
2026-07-05,4.493e-05
2026-07-06,5.718e-05
2026-07-07,4.34e-05
2026-07-08,8.709e-05
2026-07-09,9.391e-05
2026-07-10,7.6235e-05
2026-07-11,5.856e-05
2026-07-12,4.744e-05
2026-07-13,3.976e-05
2026-07-14,7.941e-05
2026-07-15,6.736e-05
2026-07-16,6.121e-05
2026-07-17,9.93e-05
2026-07-18,8.467e-05
2026-07-19,4.596e-05
2026-07-20,6.185e-05
2026-07-21,5.157e-05
2026-07-22,4.264e-05
2026-07-23,3.836e-05
2026-07-24,3.132e-05
2026-07-25,2.3e-05
2026-07-26,4.534e-05
2026-07-27,5.128e-05
2026-07-28,3.9949999999999995e-05
2026-07-29,2.862e-05
2026-07-30,3.273e-05
2026-07-31,7.096e-05
2026-08-01,4.111e-05
2026-08-02,2.9974999999999997e-05
2026-08-03,1.884e-05
2026-08-04,6.561e-05
2026-08-05,6.06e-05
2026-08-06,8.355e-05
2026-08-07,6.72e-05
2026-08-08,5.223e-05
2026-08-09,5.976e-05
2026-08-10,1.771e-05
2026-08-11,6.597e-05
2026-08-12,5.569e-05
2026-08-13,5.372e-05
2026-08-14,4.623e-05
2026-08-15,5.94e-05
2026-08-16,2.122e-05
2026-08-17,4.479e-05
2026-08-18,3.72e-05
2026-08-19,2.961e-05
2026-08-20,7.251e-05
2026-08-21,3.943e-05
2026-08-22,6.276e-05
2026-08-23,5.996e-05
2026-08-24,4.672e-05
2026-08-25,4.434e-05
2026-08-26,9.673e-05
2026-08-27,9.262e-05
2026-08-28,5.934e-05
2026-08-29,4.979e-05
2026-08-30,2.116e-05
2026-08-31,4.934e-05
